signalname,primary_exposure,primary_matched_predictor,primary_corr_n,future_exposure,future_matched_predictor,future_corr_n,pub_year,in_sample,post_pub,change
AMq,0.9198621883007998,Leverage,60.0,0.8474151441292002,CashProd,60.0,1992,0.9791406973440497,0.6498902190389444,-0.32925047830510534
AbnormalAccrualsPercent,-0.5566747483555502,dNoa,60.0,-0.43933725754302205,BetaTailRisk,60.0,2011,-0.2819854869560282,-0.04395548360270849,0.23803000335331972
AccrualQuality,-0.967435088277767,cfp,60.0,-0.9482589404163863,NetEquityFinance,60.0,2005,0.1599779863582622,-0.33108599882859524,-0.49106398518685745
AccrualQualityJune,-0.9655669770919237,cfp,60.0,-0.9445377426991467,NetEquityFinance,60.0,2005,0.20428218703993947,-0.38181571761656574,-0.5860979046565052
AssetGrowth_q,-0.9249596906425449,LRreversal,60.0,-0.8906823844830092,ChEQ,60.0,2008,-0.8197581972438491,-0.48555482436257275,0.3342033728812764
AssetLiquidityBook,-0.8694427046329334,cfp,60.0,-0.3173219071016312,TrendFactor,60.0,2014,0.34149607328058285,-0.13849953551040642,-0.47999560879098924
AssetLiquidityBookQuart,0.868989772542241,Cash,60.0,0.30841418584249364,CBOperProf,60.0,2014,0.2831212094436782,0.050026264693786814,-0.23309494474989137
AssetLiquidityMarket,0.8155007512008401,BMdec,60.0,0.4720232234633032,TrendFactor,60.0,2014,1.4098619959089567,0.49106852888426894,-0.9187934670246878
AssetLiquidityMarketQuart,0.8462958012885695,Frontier,60.0,0.516842520654432,TrendFactor,60.0,2014,1.2857865448915107,0.5370040997131807,-0.7487824451783299
AssetTurnover,-0.5436479949995885,VolMkt,60.0,0.7005319756011182,BetaTailRisk,60.0,2008,0.39999282202121644,0.4877592358817459,0.08776641386052947
AssetTurnover_q,-0.5494145430012759,SurpriseRD,60.0,0.5243551488446025,BetaTailRisk,60.0,2008,0.5702518708616428,0.7627383446758044,0.19248647381416162
BMq,0.8295305279485847,EP,60.0,0.9252119899219062,CashProd,60.0,1985,1.629231518453391,1.0228356242750105,-0.6063958941783805
BetaBDLeverage,-0.6653093281160978,DivYieldST,60.0,-0.562911859248547,OperProfRD,60.0,2014,0.37439434583610876,-0.38634863466745273,-0.7607429805035615
BetaDimson,0.47925141138259475,Beta,60.0,-0.7842093167414892,VolMkt,60.0,1979,-0.23481996525951881,-0.12646948741497502,0.1083504778445438
BetaSquared,,,,0.9506792296411519,IdioVolAHT,60.0,1973,-0.6719373898499962,-0.16953501745124486,0.5024023723987513
BidAskTAQ,0.9414115782202958,Size,60.0,,,,2016,0.01944728117595685,-0.41821905372640655,-0.4376663349023634
BookLeverageQuarterly,0.5609264116499527,Leverage,60.0,0.5523741341981344,AnalystValue,60.0,1992,-0.14143290625156654,0.13333133660417026,0.2747642428557368
BrandCapital,0.8203223795521456,OPLeverage,60.0,-0.48547170649042665,ConvDebt,60.0,2014,0.2107901072690474,-0.4002681524277618,-0.6110582596968093
CBOperProfLagAT,0.8783432682491484,ShareRepurchase,60.0,,,,2016,0.49966787614021096,1.0212284974629464,0.5215606213227355
CBOperProfLagAT_q,0.8832978043987649,ShareIss5Y,60.0,,,,2016,0.852692709585899,1.0328032094513002,0.18011049986540117
CFq,-0.9125345861802607,Price,60.0,0.8908150970703195,cfp,60.0,1994,1.2927014256661944,0.9300921695520069,-0.3626092561141875
CapTurnover,0.5836770057298805,BookLeverage,60.0,0.5800937041736349,GP,60.0,1996,0.2562670295631399,0.3648294436495809,0.10856241408644102
CapTurnover_q,-0.349452232361526,DivYieldST,60.0,0.5394267765118467,OPLeverage,60.0,1996,0.8238060834579445,0.6549511829693839,-0.16885490048856056
ChNCOA,-0.9214139770439447,dNoa,60.0,-0.925690141486614,ChEQ,60.0,2008,-1.0199307896456655,-0.2984117299771046,0.721519059668561
ChNCOL,0.8648991236456287,VarCF,60.0,-0.8606180871407088,ChEQ,60.0,2008,-0.5379448751042104,-0.43199007291095165,0.10595480219325876
ChPM,-0.6235497321683493,AM,60.0,-0.6898299079413619,CashProd,60.0,2008,0.09259046359063952,-0.08467155017404249,-0.177262013764682
ChangeRoA,0.8763026601009221,Mom12m,60.0,0.6903661638810558,NumEarnIncrease,60.0,2010,1.252199983948316,0.5101763989807095,-0.7420235849676065
