spec,term,coef,se,t,n
primary_maxcorr_60m,const,-0.1212849289556488,0.03096671952144897,-3.9166218065701566,113
primary_maxcorr_60m,exposure_z,-0.014179725610725783,0.03421789562279312,-0.41439502203871437,113
primary_maxcorr_60m,in_sample_z,-0.2631655025136469,0.032885007725630334,-8.002598165988498,113
primary_maxcorr_60m,pub_year_z,0.004433066147763952,0.03383947256125084,0.13100281453086834,113
negative_control_future,const,-0.14334922675612438,0.026611840599383804,-5.386670877603394,107
negative_control_future,exposure_z,0.07574367367251375,0.02982142432132222,2.5399079821401176,107
negative_control_future,in_sample_z,-0.32522392669738176,0.030632319805115674,-10.617019173424422,107
negative_control_future,pub_year_z,-0.04543674136116828,0.022793067077681934,-1.9934456914601955,107
negative_control_future,corr_n_z,-0.01865942387258874,0.03286370034058088,-0.5677821937034777,107
R1_maxcorr_120m,const,-0.1212849289556488,0.030531792610744415,-3.9724142798273667,113
R1_maxcorr_120m,exposure_z,-0.05580948782659398,0.03529904483041808,-1.5810481018597287,113
R1_maxcorr_120m,in_sample_z,-0.25492585423439157,0.03215973000313656,-7.926865499478027,113
R1_maxcorr_120m,pub_year_z,0.005377297425068852,0.03262851074433913,0.1648036426548148,113
R2_published_composite,const,-0.12132816445263964,0.029778236613753468,-4.074390502915228,111
R2_published_composite,exposure_z,0.10307043073599957,0.03156466192408972,3.2653741384550554,111
R2_published_composite,in_sample_z,-0.28558815711441776,0.02858854541896204,-9.989600832401727,111
R2_published_composite,pub_year_z,-0.0042157381433036226,0.03190081749674036,-0.13215141410512093,111
