signalname,is_mean,pp_mean,is_n,pub_year,retention,is_mean_z,pub_year_z,log_n_z
AM,0.6229211249515869,0.4681645056669595,336,1992,0.7515630581694351,-0.1769043404663494,-1.475699607584466,0.17838321874012156
AOP,0.35601826581640983,0.0010844517083971948,210,1998,0.0030460563755355767,-0.7645756475553583,-0.7312884878328808,-0.6551861159037273
AbnormalAccruals,0.5331654459476943,-0.12792889754196307,246,2001,-0.2399422140243376,-0.3745299386700937,-0.35908292795708824,-0.37456981733743133
Accruals,0.6864724185765431,0.09953759198926482,360,1996,0.1449986762697097,-0.03697600881494407,-0.9794255277500759,0.30074470363512074
AccrualsBM,1.4453724700725552,0.8965328529637516,228,2004,0.6202780747019121,1.633983180823044,0.013122631918704325,-0.5093337169769787
Activism1,0.2402973011435394,0.1498519794789564,135,2005,0.6236107470447356,-1.01937205845654,0.13719115187730185,-1.4387933274738718
Activism2,0.4383249726952884,0.16078676931185512,135,2005,0.36682091901624253,-0.5833513243299367,0.13719115187730185,-1.4387933274738718
AdExp,0.6469165823662144,0.3181104233841904,264,2001,0.49173329615488287,-0.12407072950862302,-0.35908292795708824,-0.24932687270066586
AgeIPO,1.6107858657134897,0.7624571627173603,84,1991,0.4733448305865495,1.9981932411473005,-1.5997681275430635,-2.2802626220881628
AnalystRevision,0.9612854729837959,0.5348684330241866,58,1984,0.5564095662071893,0.5681121023125546,-2.468247767253246,-2.937134639811981
AnalystValue,0.21135496199705517,0.3870490310066111,210,1998,1.831274872136685,-1.0830977987185186,-0.7312884878328808,-0.6551861159037273
AnnouncementReturn,1.1476451663392677,0.7998486989941243,192,1996,0.6969477347649738,0.9784420813085827,-0.9794255277500759,-0.8141166918544642
AssetGrowth,1.4946683643990843,0.6665266413115017,432,2008,0.4459361402082473,1.742523729046699,0.5093967117530944,0.6240989275841192
BM,1.1743970284630216,0.6117616944075415,180,1980,0.5209155673768839,1.03734479157655,-2.9645218470876364,-0.9285782167790214
BMdec,0.9691142196610789,0.617564125665052,336,1992,0.6372459645479437,0.5853495714337736,-1.475699607584466,0.17838321874012156
BPEBM,0.22106631004831703,-0.032297242165245356,468,2007,-0.146097531361456,-1.061715185503458,0.3853281917944969,0.7660577177440937
Beta,0.6789863431325771,0.26265778163898956,480,1973,0.38683809224672977,-0.05345897851926742,-3.833001486797819,0.8109598143299711
BetaLiquidityPS,0.37018126041975513,-0.006675714350313062,384,2003,-0.018033636664220525,-0.7333913223749858,-0.1109458880398932,0.41520622855967787
BetaTailRisk,0.45652071654807447,0.27505540869466777,576,2014,0.6025036733808393,-0.5432876224719964,1.2538078315046797,1.1343140382789696
BidAskSpread,0.7102592008232415,0.0050656053784653215,240,1986,0.007132051753210547,0.01539813756795058,-2.220110727336051,-0.41836310608417104
BookLeverage,0.26886825967083333,-0.028544556880941555,336,1992,-0.10616558799423825,-0.956464030431194,-1.475699607584466,0.17838321874012156
