signalname,pre_corr,post_corr,pre_n,post_n,change
AM,0.4980230045436432,-0.16738895907376802,120,120,-0.6654119636174112
AOP,0.40410401821402087,0.3997680918841463,120,120,-0.004335926329874562
AbnormalAccruals,-0.3291814421842903,-0.4154381122818004,120,120,-0.08625667009751009
Accruals,0.15904986008292163,-0.04896246291599256,120,120,-0.2080123229989142
AccrualsBM,0.32293032715684483,-0.2932838654191254,120,120,-0.6162141925759702
AdExp,0.5068100165020725,0.023966684363455233,120,120,-0.48284333213861724
AgeIPO,-0.25562421744511643,-0.5428350440080032,120,120,-0.28721082656288677
AnalystRevision,-0.14887771746743617,-0.36159214277345064,105,120,-0.21271442530601448
AnalystValue,0.4439294589023721,0.7164306809512875,120,120,0.27250122204891536
AnnouncementReturn,-0.0668084857646295,0.05184909558302037,120,120,0.11865758134764987
AssetGrowth,0.1378930647209087,-0.006539308992095015,120,120,-0.14443237371300371
BMdec,0.1382334922654669,-0.20561493956473878,120,120,-0.3438484318302057
BPEBM,-0.41268562604194237,-0.31887225921322443,120,120,0.09381336682871794
BetaFP,-0.7998442359674863,-0.5512735835628869,120,120,0.2485706524045994
BetaLiquidityPS,-0.29220075574399684,0.14553082386680363,120,120,0.43773157961080045
BetaTailRisk,-0.7409363636905634,-0.4123418752078809,120,120,0.32859448848268247
BidAskSpread,0.8530877127751327,0.9631904422707711,120,120,0.11010272949563837
BookLeverage,-0.16089380975029727,0.44324926258423575,120,120,0.604143072334533
BrandInvest,0.11034322826026861,-0.15863610570602382,120,120,-0.2689793339662924
CBOperProf,0.5704127364291836,0.09396322114179387,120,96,-0.47644951528738966
CF,-0.7298182898921214,-0.39890995627571824,120,120,0.33090833361640315
CPVolSpread,0.03992996017443528,0.16095199948517255,120,120,0.12102203931073727
Cash,-0.12134485096874709,-0.49080781040193117,120,120,-0.3694629594331841
CashProd,0.21917846092035306,0.05570346436262885,120,120,-0.1634749965577242
ChAssetTurnover,0.09190940842116617,-0.032856837922319776,120,120,-0.12476624634348595
ChEQ,0.19803551361374125,0.025163411523988,120,120,-0.17287210208975326
ChForecastAccrual,0.2944505299004393,0.19342981267919715,120,120,-0.10102071722124215
ChInv,0.16334951686691537,0.26458060554450497,120,120,0.10123108867758959
ChInvIA,0.29451965206300024,0.1783484761876566,120,120,-0.11617117587534365
ChNAnalyst,0.2683293907358093,0.25511582028594165,120,120,-0.013213570449867651
ChNNCOA,0.38922371654178156,0.16469668095817142,120,120,-0.22452703558361015
ChNWC,-0.35548092918951446,-0.10816855023907372,120,120,0.24731237895044073
ChTax,0.304059451385451,0.30116363259922413,120,120,-0.002895818786226856
ChangeInRecommendation,0.024490323977857026,0.10663234648879928,120,120,0.08214202251094226
CitationsRD,-0.4071237108866988,0.36133536926182275,120,120,0.7684590801485216
CompEquIss,0.28942039999684865,-0.03947662924947426,120,120,-0.3288970292463229
CompositeDebtIssuance,0.10345434140446505,0.43242110442660814,120,120,0.3289667630221431
ConsRecomm,-0.17274656716191839,0.23385541507135646,97,120,0.4066019822332748
ConvDebt,0.6842409819453801,0.4218606828753551,120,96,-0.26238029907002497
CoskewACX,0.05528227791230927,-0.35666125730250436,120,120,-0.41194353521481364
Coskewness,0.15516140027150535,-0.5915088664456043,120,120,-0.7466702667171097
CredRatDG,-0.18937880340450347,0.3699180308696592,120,120,0.5592968342741627
CustomerMomentum,0.10648925505953911,-0.1711222970602107,120,120,-0.2776115521197498
DebtIssuance,0.008198497596738968,-0.37609059653689614,120,120,-0.3842890941336351
DelBreadth,0.41651937813105455,0.45949836955769924,120,120,0.042978991426644686
DelCOA,0.4575469630269721,-0.02067818043660879,120,120,-0.4782251434635809
DelCOL,0.6617315955213635,0.18383630984683788,120,120,-0.47789528567452566
DelDRC,0.07028846945422983,-0.1451092355147665,120,120,-0.21539770496899635
DelEqu,0.09166967537878387,-0.15049177825331964,120,120,-0.2421614536321035
DelFINL,0.3349356406565749,0.20636450770269962,120,120,-0.12857113295387526
DelLTI,-0.3187469073225981,0.02588416194606777,120,120,0.3446310692686658
DelNetFin,0.2279082426396909,0.22323842231753963,120,120,-0.004669820322151269
DivInit,-0.23004833254531865,-0.1490884304063047,120,120,0.08095990213901394
DivOmit,0.052039001610848935,0.09919364773559358,120,119,0.04715464612474465
DivSeason,0.08693758716560823,-0.017240932748927695,120,120,-0.10417851991453593
DolVol,0.7733482653561261,0.4911334999075312,120,120,-0.2822147654485949
DownRecomm,0.10558501738063161,0.026854331126396003,96,120,-0.07873068625423561
EBM,0.38836431003446276,0.006651996491572393,120,120,-0.38171231354289037
EarnSupBig,0.4984585357934632,-0.0027460100417351268,120,120,-0.5012045458351984
EarningsConsistency,0.26831389555018326,0.3440550555411273,120,120,0.07574115999094405
EarningsForecastDisparity,0.42899679160669174,0.35924810847459215,120,120,-0.06974868313209959
EarningsStreak,0.008212224361063877,0.5147484857338379,120,120,0.5065362613727741
EarningsSurprise,-0.2601574843582569,0.13291687344378345,120,120,0.39307435780204036
EntMult,0.49358273165445327,0.18652845763302875,120,120,-0.3070542740214245
EquityDuration,0.7236765965513038,0.0723041424500657,120,120,-0.6513724541012381
ExchSwitch,0.4788254883095554,0.2788857789635186,120,120,-0.19993970934603678
ExclExp,0.6763445763461852,0.5684564274279527,120,120,-0.10788814891823251
FEPS,0.5714394397737772,0.45024615078360053,120,120,-0.12119328899017667
FR,0.43986751626459286,0.4073971683980546,120,120,-0.03247034786653824
FirmAge,0.5314332941190815,0.4495219063674706,120,120,-0.08191138775161089
FirmAgeMom,0.5298033607518053,0.5699605666067805,120,120,0.040157205854975175
ForecastDispersion,0.6503175968576039,0.4799598920427532,120,120,-0.17035770481485074
Frontier,-0.028883367613402072,0.06570742411704325,120,120,0.09459079173044532
GP,-0.028113661590004606,0.20411810317336412,120,120,0.23223176476336874
GrAdExp,0.23903242058329202,0.38999092228633614,120,120,0.15095850170304412
GrLTNOA,-0.15497563169758544,0.03340100081756026,120,120,0.1883766325151457
GrSaleToGrInv,0.11172673500863797,0.21904525245108986,120,120,0.10731851744245188
GrSaleToGrOverhead,-0.2214111655039209,-0.12815786141408647,120,120,0.09325330408983443
Herf,-0.42487927338089304,-0.08242962724274008,120,120,0.342449646138153
HerfAsset,-0.1978565425432395,0.04504447321573084,120,120,0.24290101575897033
HerfBE,-0.1553776224166583,0.07886660508242875,120,120,0.23424422749908708
High52,0.7158261808466092,0.6755477538980054,120,120,-0.04027842694860384
IO_ShortInterest,0.13004602860712658,0.15785145716632668,120,120,0.027805428559200096
IdioVol3F,0.687724664558918,0.7077135782117895,120,120,0.019988913652871476
IdioVolAHT,0.6476911073518261,0.4831963970211487,120,120,-0.16449471033067742
Illiquidity,0.42202683792701173,0.5572192680611339,120,120,0.13519243013412213
IndIPO,-0.1795146161447431,-0.4728723491398319,120,120,-0.2933577329950888
IndMom,-0.3365204412172275,0.21283632979739325,120,120,0.5493567710146208
