signalname,is_mean,pp_mean,pp_n,Year,Stock Weight,Predictability in OP,decay,vw
AM,0.6229211249515869,0.4681645056669595,384,1992,EW,1_clear,0.24843694183056486,0.0
AOP,0.35601826581640983,0.0010844517083971948,312,1998,EW,2_likely,0.9969539436244643,0.0
AbnormalAccruals,0.5331654459476943,-0.12792889754196307,276,2001,EW,1_clear,1.2399422140243377,0.0
Accruals,0.6864724185765431,0.09953759198926482,336,1996,EW,1_clear,0.8550013237302903,0.0
AccrualsBM,1.4453724700725552,0.8965328529637516,240,2004,EW,1_clear,0.3797219252980879,0.0
Activism1,0.2402973011435394,0.1498519794789564,14,2005,VW,1_clear,0.37638925295526443,1.0
Activism2,0.4383249726952884,0.16078676931185512,14,2005,VW,2_likely,0.6331790809837574,1.0
AdExp,0.6469165823662144,0.3181104233841904,276,2001,EW,2_likely,0.5082667038451172,0.0
AgeIPO,1.6107858657134897,0.7624571627173603,396,1991,EW,2_likely,0.5266551694134505,0.0
AnalystRevision,0.9612854729837959,0.5348684330241866,480,1984,EW,1_clear,0.4435904337928107,0.0
AnalystValue,0.21135496199705517,0.3870490310066111,312,1998,EW,2_likely,-0.8312748721366848,0.0
AnnouncementReturn,1.1476451663392677,0.7998486989941243,336,1996,EW,1_clear,0.30305226523502615,0.0
AssetGrowth,1.4946683643990843,0.6665266413115017,192,2008,EW,1_clear,0.5540638597917527,0.0
BM,1.1743970284630216,0.6117616944075415,528,1980,EW,1_clear,0.479084432623116,0.0
BMdec,0.9691142196610789,0.617564125665052,384,1992,EW,1_clear,0.36275403545205626,0.0
BPEBM,0.22106631004831703,-0.032297242165245356,204,2007,EW,1_clear,1.146097531361456,0.0
Beta,0.6789863431325771,0.26265778163898956,612,1973,EW,2_likely,0.6131619077532703,0.0
BetaLiquidityPS,0.37018126041975513,-0.006675714350313062,252,2003,VW,1_clear,1.0180336366642204,1.0
BetaTailRisk,0.45652071654807447,0.27505540869466777,120,2014,EW,1_clear,0.39749632661916073,0.0
BidAskSpread,0.7102592008232415,0.0050656053784653215,456,1986,EW,2_likely,0.9928679482467894,0.0
BookLeverage,0.26886825967083333,-0.028544556880941555,384,1992,EW,1_clear,1.1061655879942383,0.0
BrandInvest,0.5757106718677907,-0.42996135677780817,120,2014,EW,2_likely,1.7468358288076808,0.0
CBOperProf,0.4815079188202243,0.5679045131635518,96,2016,VW,1_clear,-0.17942922840192072,1.0
CF,0.8275561872491719,0.3850356806983065,360,1994,EW,1_clear,0.5347316754670403,0.0
CPVolSpread,0.9769581411100443,0.46289770915964407,157,2009,VW,1_clear,0.5261847056889377,1.0
Cash,0.7153460915989154,-0.12558129075447577,144,2012,EW,1_clear,1.175553193383333,0.0
CashProd,0.5200294720230376,0.2025033662409335,180,2009,EW,1_clear,0.6105925199717094,0.0
ChAssetTurnover,0.2908748614399139,0.04546226529441378,192,2008,EW,1_clear,0.8437050727953508,0.0
ChEQ,0.5624440041578984,0.4058739493126214,168,2010,EW,1_clear,0.278374475837282,0.0
