signalname,is_mean_ew,pp_mean_ew,is_n_ew,pp_n_ew,is_mean_vw,pp_mean_vw,is_n_vw,pp_n_vw,Acronym,Predictability in OP,Year,decay_ew,decay_vw,decay_diff_vw_minus_ew,levels_did
AM,0.6414434572736049,0.6629001407527397,336.0,384.0,0.13371838996945046,-0.0036292586434744346,336.0,384.0,AM,1_clear,1992,-0.03345062333371439,1.0271410584909344,1.0605916818246488,-0.15880433209205977
AOP,0.4641156036711808,0.009209512525099292,210.0,312.0,0.11080627927043084,-0.043306000257199426,210.0,312.0,AOP,2_likely,1998,0.9801568564981408,1.3908262288232598,0.410669372325119,0.3007938116184513
AbnormalAccruals,0.5331654459476943,-0.12792889754196307,246.0,276.0,0.5712057118738966,0.07653172678741683,246.0,276.0,AbnormalAccruals,1_clear,2001,1.2399422140243377,0.8660172242739889,-0.3739249897503488,0.1664203584031777
Accruals,0.6864724185765431,0.09953759198926482,360.0,336.0,0.5411029180615331,0.10438523364948199,360.0,336.0,Accruals,1_clear,1996,0.8550013237302903,0.8070880230632733,-0.047913300667016934,0.15021714217522714
Activism1,0.3692442855294586,0.028630170365475376,135.0,14.0,0.3692442855294586,0.028630170365475376,135.0,14.0,Activism1,1_clear,2005,0.9224627936369478,0.9224627936369478,0.0,0.0
Activism2,0.7079593848573194,0.40000415764054376,135.0,14.0,0.7079593848573194,0.40000415764054376,135.0,14.0,Activism2,2_likely,2005,0.434989963836471,0.434989963836471,0.0,0.0
AdExp,0.9273729606788875,0.33819456101385753,264.0,276.0,0.7165259858623887,0.14389762602221348,264.0,276.0,AdExp,2_likely,2001,0.6353197954291435,0.7991731927921321,0.16385339736298854,0.0165500398248547
AgeIPO,2.2421292616279196,0.9025235457361058,84.0,396.0,0.8357748829787003,0.9930353662448428,84.0,396.0,AgeIPO,2_likely,1991,0.5974703326957965,-0.18816129375133459,-0.7856316264471311,1.4968661991579562
AnalystRevision,1.2787047410564656,0.5749652669238074,58.0,480.0,0.6130454236173255,0.38360340326908854,58.0,480.0,AnalystRevision,1_clear,1984,0.5503533783344142,0.3742659377414405,-0.1760874405929737,0.4742974537844212
AnnouncementReturn,1.496554511730016,1.0319464957643834,192.0,336.0,1.4087979038699519,0.9876847465039023,192.0,336.0,AnnouncementReturn,1_clear,1996,0.31045178262738066,0.2989166552628,-0.011535127364580677,0.04349485859958313
AssetGrowth,1.4946683643990843,0.6665266413115017,432.0,192.0,0.8617541694820156,-0.03883320963565072,432.0,192.0,AssetGrowth,1_clear,2008,0.5540638597917527,1.0450629785278471,0.4909991187360945,-0.07244565603008368
BM,1.1743970284630216,0.6117616944075415,180.0,528.0,0.6223189154281329,0.4874372063931612,180.0,528.0,BM,1_clear,1980,0.479084432623116,0.21674049380642396,-0.26234393881669205,0.42775362502050845
BMdec,1.165663468402102,0.6371121872597766,336.0,384.0,0.6213346145353388,-0.14965192618899478,336.0,384.0,BMdec,1_clear,1992,0.45343385588540963,1.2408556077322541,0.7874217518468445,-0.24243525958200807
BPEBM,0.17047230455926762,0.03927735508475332,468.0,204.0,0.15620337416581062,0.13119648133011977,468.0,204.0,BPEBM,1_clear,2007,0.7695968551237724,0.1600918864220303,-0.6095049687017421,0.10618805663882344
Beta,0.6729265851924022,0.35081881261619025,480.0,612.0,0.47385774818048143,0.19296163001200217,480.0,612.0,Beta,2_likely,1973,0.4786670339144282,0.5927857447663648,0.11411871085193659,0.04121165440773272
BetaLiquidityPS,0.37018126041975513,-0.006675714350313062,384.0,252.0,0.37018126041975513,-0.006675714350313062,384.0,252.0,BetaLiquidityPS,1_clear,2003,1.0180336366642204,1.0180336366642204,0.0,0.0
BetaTailRisk,0.5879409676071201,0.2637826369033159,576.0,120.0,0.5995461817674077,1.3737171302401008,576.0,120.0,BetaTailRisk,1_clear,2014,0.5513450304766253,-1.2912615775327054,-1.8426066080093308,1.0983292791764974
BidAskSpread,0.8406482441772486,0.10424113583468775,240.0,456.0,0.20712696170213146,-0.9146533199541274,240.0,456.0,BidAskSpread,2_likely,1986,0.8759991036004486,5.415906613208024,4.539907509607575,-0.3853731733136979
BrandInvest,0.3809043635331285,-0.4562835572983561,432.0,120.0,0.2187971282717013,-0.6866463262860462,432.0,120.0,BrandInvest,2_likely,2014,2.197895327493857,4.138278512656582,1.940383185162725,-0.06825553372626281
CBOperProf,0.4815079188202243,0.5679045131635518,624.0,96.0,0.4815079188202243,0.5679045131635518,624.0,96.0,CBOperProf,1_clear,2016,-0.17942922840192072,-0.17942922840192072,0.0,0.0
CF,0.8275561872491719,0.3850356806983065,276.0,360.0,0.7335520794323629,0.2988710379058589,276.0,360.0,CF,1_clear,1994,0.5347316754670403,0.5925701169886517,0.05783844152161144,0.007839465024361392
CPVolSpread,1.604089484186925,0.8852126191319172,107.0,157.0,1.604089484186925,0.8852126191319172,107.0,157.0,CPVolSpread,1_clear,2009,0.44815259506509986,0.44815259506509986,0.0,0.0
