source_row,name,sample_start,sample_end,publication_year,significance,cite,reason
0,niq_su,1974.0,1981.0,1984.0,1.0,Foster Olsen and Shevlin (1984),eligible
1,,1977.0,1993.0,1996.0,,Chan Jegadeesh and Lakonishok (1996) 1972/1,missing_name
2,,1977.0,1993.0,1996.0,,Chan Jegadeesh and Lakonishok (1996) 1976/7,missing_name
3,ret_6_1,1965.0,1989.0,1993.0,1.0,Jegadeesh and Titman (1993),eligible
4,ret_12_1,1965.0,1989.0,1993.0,1.0,Jegadeesh and Titman (1993),eligible
5,,1973.0,1995.0,1999.0,,Moskowitz and Grinblatt (1999),missing_name
6,saleq_su,1987.0,2003.0,2006.0,1.0,Jegadeesh and Livnat (2006),eligible
7,tax_gr1a,1977.0,2006.0,2011.0,1.0,Thomas and Zhang (2011),eligible
8,,1975.0,1980.0,1984.0,,Hawkins Chamberlin and Daniel (1984) 1976/3,missing_name
9,ni_inc8q,1982.0,1992.0,1999.0,0.0,Barth Elliott and Finn (1999),eligible
10,prc_highprc_252d,1963.0,2001.0,2004.0,1.0,George and Hwang (2004),eligible
11,resff3_6_1,1930.0,2009.0,2011.0,1.0,Blitz Huij and Martens (2011),eligible
12,resff3_12_1,1930.0,2009.0,2011.0,1.0,Blitz Huij and Martens (2011),eligible
13,,1977.0,2009.0,2012.0,,Cohen and Lou (2012) 1977/7,missing_name
14,,1972.0,2001.0,2007.0,,Hou (2007),missing_name
15,,1972.0,2001.0,2007.0,,Hou (2007),missing_name
16,,1980.0,2004.0,2008.0,,Cohen and Frazzini (2008),missing_name
17,,1963.0,2005.0,2010.0,,Menzly and Ozbas (2010),missing_name
18,,1963.0,2005.0,2010.0,,Menzly and Ozbas (2010),missing_name
19,be_me,1973.0,1984.0,1985.0,1.0,Rosenberg Reid and Lanstein (1985),eligible
20,,,,2013.0,,Asness and Frazzini (2013),missing_or_ambiguous_year
21,,,,,,nan,missing_or_ambiguous_year
22,debt_me,1948.0,1979.0,1988.0,1.0,Bhandari (1988),eligible
23,,,,,,1972/1,missing_or_ambiguous_year
24,at_me,1963.0,1990.0,1992.0,0.0,Fama and French (1992),eligible
25,,,,,,1972/1,missing_or_ambiguous_year
