deleted_factor,post_pub_pct,post_pub_t,shift_pct
age,-0.16552503383452793,-2.8844810209302807,-0.001191501842505549
aliq_at,-0.1619398510818477,-2.976428547576311,0.0023936809101746948
aliq_mat,-0.16765524273082932,-3.0092039177430316,-0.003321710738806938
ami_126d,-0.16366327598498276,-2.9065142374710558,0.0006702560070396268
at_be,-0.16398304639226435,-2.939066390130378,0.0003504855997580325
at_gr1,-0.1606243561299164,-2.942753316039219,0.003709175862105979
at_me,-0.16408531294715292,-2.9436086341047556,0.0002482190448694632
at_turnover,-0.16650397738575537,-2.9882255440195284,-0.0021704453937329837
be_gr1a,-0.16296887824138814,-2.9727984238287966,0.0013646537506342427
be_me,-0.16006963167515012,-2.8899437819764744,0.0042639003168722656
beta_60m,-0.16810683516300096,-3.033819238982487,-0.0037733031709785703
beta_dimson_21d,-0.16569755873729503,-3.0041298236522773,-0.0013640267452726396
betabab_1260d,-0.16200754818630428,-3.0130749740092497,0.002325983805718107
betadown_252d,-0.1630976990165969,-3.049183367484786,0.0012358329754254826
bev_mev,-0.16144625810191232,-2.9159803275115963,0.0028872738901100647
bidaskhl_21d,-0.16376925646933274,-2.8453449654393737,0.0005642755226896445
capex_abn,-0.16494310731282547,-2.9658208309600376,-0.0006095753208030796
capx_gr1,-0.1643791730985259,-2.982620835461868,-4.5641106503513384e-05
capx_gr2,-0.16332409667807435,-2.9712485857726323,0.0010094353139480372
capx_gr3,-0.16340430665841552,-2.974941911304559,0.0009292253336068701
cash_at,-0.1680758948656329,-2.9720570080485107,-0.0037423628736105163
chcsho_12m,-0.16243897003579622,-2.978433559744542,0.0018945619562261706
coa_gr1a,-0.16246841744307916,-2.9638775681621556,0.0018651145489432253
col_gr1a,-0.16485522949978854,-2.9976666582901648,-0.0005216975077661501
cop_atl1,-0.16704307938079194,-3.005254219429926,-0.002709547388769551
corr_1260d,-0.16133808387051463,-2.9429156949358957,0.00299544812150776
coskew_21d,-0.16749863742462753,-3.0134944948134894,-0.0031651054326051475
cowc_gr1a,-0.16357414091247485,-2.958275247576698,0.0007593910795475334
dbnetis_at,-0.16357489516313045,-2.937126331619204,0.0007586368288919343
debt_gr3,-0.16220300865536957,-2.9309718124769737,0.002130523336652812
debt_me,-0.1643169879775125,-2.946513720480332,1.654401450987275e-05
dgp_dsale,-0.16460140557053943,-2.9537965591682265,-0.00026787357851704163
dolvol_126d,-0.16548920377051754,-2.955785529947941,-0.0011556717784951542
dolvol_var_126d,-0.1670163262506117,-3.024825448319436,-0.002682794258589305
dsale_dinv,-0.1631370233235297,-2.929954872364363,0.0011965086684926907
dsale_drec,-0.1675359195642607,-3.0135050945283406,-0.0032023875722383133
dsale_dsga,-0.1639377345238165,-2.9449608652127433,0.000395797468205894
earnings_variability,-0.1629050437502698,-2.9320372221090585,0.0014284882417525957
