name,cluster,factors
age,12,12
aliq_at,2,59
aliq_mat,8,24
ami_126d,12,12
at_be,9,7
at_gr1,2,59
at_me,2,59
at_turnover,8,24
be_gr1a,2,59
be_me,2,59
beta_60m,3,3
beta_dimson_21d,3,3
betabab_1260d,2,59
betadown_252d,2,59
bev_mev,2,59
bidaskhl_21d,12,12
capex_abn,7,19
capx_gr1,2,59
capx_gr2,2,59
capx_gr3,2,59
cash_at,12,12
chcsho_12m,2,59
coa_gr1a,2,59
col_gr1a,2,59
cop_atl1,8,24
corr_1260d,2,59
coskew_21d,6,1
cowc_gr1a,2,59
dbnetis_at,7,19
debt_gr3,9,7
debt_me,2,59
dgp_dsale,9,7
dolvol_126d,12,12
dolvol_var_126d,8,24
dsale_dinv,2,59
dsale_drec,9,7
dsale_dsga,7,19
earnings_variability,2,59
ebit_bev,8,24
ebit_sale,2,59
ebitda_mev,2,59
emp_gr1,2,59
eq_dur,2,59
eqnetis_at,2,59
eqnpo_12m,2,59
eqnpo_me,2,59
eqpo_me,2,59
f_score,2,59
fcf_me,7,19
fnl_gr1a,7,19
gp_at,8,24
inv_gr1,2,59
inv_gr1a,2,59
iskew_ff3_21d,5,4
ival_me,2,59
ivol_capm_252d,2,59
ivol_ff3_21d,2,59
kz_index,2,59
lnoa_gr1a,2,59
lti_gr1a,9,7
market_equity,12,12
mispricing_mgmt,2,59
mispricing_perf,8,24
ncoa_gr1a,2,59
ncol_gr1a,1,6
netdebt_me,12,12
netis_at,2,59
nfna_gr1a,7,19
ni_ar1,12,12
ni_be,8,24
ni_inc8q,8,24
ni_ivol,12,12
ni_me,2,59
niq_at,8,24
niq_be,8,24
niq_su,7,19
nncoa_gr1a,2,59
noa_at,2,59
noa_gr1a,2,59
o_score,8,24
oaccruals_at,2,59
oaccruals_ni,1,6
ocf_at,8,24
ocf_at_chg1,7,19
ocf_me,2,59
ocfq_saleq_std,2,59
op_atl1,8,24
ope_be,8,24
opex_at,8,24
pi_nix,9,7
ppeinv_gr1a,2,59
prc,12,12
prc_highprc_252d,7,19
qmj,8,24
qmj_growth,2,59
qmj_prof,8,24
qmj_safety,8,24
rd5_at,12,12
rd_me,1,6
rd_sale,12,12
resff3_12_1,7,19
resff3_6_1,7,19
ret_12_1,7,19
ret_12_7,7,19
ret_1_0,5,4
ret_3_1,7,19
ret_60_12,2,59
ret_6_1,7,19
ret_9_1,7,19
rmax1_21d,2,59
rmax5_21d,2,59
rmax5_rvol_21d,5,4
rskew_21d,5,4
rvol_21d,2,59
sale_bev,8,24
sale_emp_gr1,7,19
sale_gr1,1,6
sale_gr3,1,6
sale_me,2,59
saleq_su,8,24
seas_11_15an,10,3
seas_11_15na,13,1
seas_16_20an,11,1
seas_16_20na,4,1
seas_1_1an,7,19
seas_1_1na,7,19
seas_2_5an,10,3
seas_2_5na,2,59
seas_6_10an,10,3
seas_6_10na,2,59
sti_gr1a,3,3
taccruals_at,2,59
taccruals_ni,1,6
tangibility,9,7
tax_gr1a,8,24
turnover_126d,2,59
turnover_var_126d,8,24
z_score,8,24
zero_trades_126d,2,59
zero_trades_21d,2,59
zero_trades_252d,2,59
