seed,family,method,regret,recovery_days,annual_return,annual_volatility,annual_es_5,annual_turnover,genome_diversity,evaluated_candidates
0,development,static,0.2681504370969753,1.0,0.08460837788938418,0.08226277985500172,2.7522658575658547,21.363867505965985,0.9465206685721015,0
0,development,random,0.3189574068508185,1.0,0.03380140813554093,0.10172382177290347,3.5923164087537973,36.95535667939852,0.6654883002691229,576
0,development,evolution,0.16118012056503458,1.0,0.19157869442132489,0.12608780318980323,4.108300758812348,16.48559679801085,0.256319728162917,576
1,development,static,0.2522432881043463,1.0,0.01560807357931461,0.07207174862202417,2.3125623640885586,25.648744324372792,0.810951072767644,0
1,development,random,0.3042999929938038,1.0,-0.03644863131014288,0.062148691826927366,1.891840890507613,45.767792265394256,0.8108853104866824,576
1,development,evolution,0.24594599053802643,1.0,0.02190537114563449,0.07222330318495628,2.231499960053235,38.78119634574451,0.24986344806122365,576
2,development,static,0.32962001392130413,4.0,-0.00041886176843033973,0.0686471543132484,2.19567251797677,36.57935097860325,0.864376403605192,0
2,development,random,0.3397840635505172,4.0,-0.010582911397643377,0.06369344444869085,2.0678185405870635,26.786364277472494,0.9303281716318216,576
2,development,evolution,0.35122444292647287,4.0,-0.022023290773599068,0.0639303906765161,2.1050347790301918,22.962002722105314,0.3458674259320157,576
3,development,static,0.33456219904608353,4.0,0.025522211175347226,0.06605706213747456,2.157008732201931,23.096647541878546,0.9949266624513519,0
3,development,random,0.2975369004462157,4.0,0.062547509775215,0.06555177123948892,2.039564546423371,20.47516505195221,0.840270197872353,576
3,development,evolution,0.2873046247710585,4.0,0.07277978545037223,0.09514589974614504,3.0075991415854486,29.435435829305064,0.3387007694843119,576
4,development,static,0.2411687398979464,16.0,0.0838560841907219,0.07654735519514586,2.253940564529603,27.87434942846203,0.8290332474750043,0
4,development,random,0.2944107403715641,18.0,0.030614083717104175,0.08824714240982139,2.5347060239815487,24.09494057941263,0.81785988265604,576
4,development,evolution,0.3414197050723056,39.0,-0.016394880983637325,0.09847257391428937,3.400974186531177,65.94276993591089,0.18421929060360093,576
5,development,static,0.27079637799331013,5.0,0.11865896275667873,0.07646375827864356,2.439330196029916,17.26563509291186,0.8805514258015307,0
5,development,random,0.27579242782325236,6.0,0.11366291292673647,0.07716878960041444,2.3741667017602888,16.21056292738028,0.8930617640530016,576
5,development,evolution,0.30998731314233496,37.0,0.07946802760765384,0.09468446581534812,3.2501341308724414,76.98699394631,0.08830103068976779,576
6,development,static,0.25284913728697644,1.0,0.15945025141485436,0.08224312275158939,2.3782692119643762,20.426604705738196,0.931251875325347,0
