seed,family,method,full_return,early_return,annual_volatility,annual_es_5,annual_turnover,evaluated_candidates,mean_distance,local_share,hybrid_share,global_share
50000,small_drift,evolution,0.044835482013585795,0.07631179064408111,0.10115380759780394,3.6075776178150147,63.52401688609942,576,,1.0,0.0,0.0
50000,small_drift,random,0.026922153987160358,0.07393525281027999,0.07156641215506462,2.5265917825243056,38.353829746592496,576,,0.0,0.0,1.0
50000,small_drift,hybrid,0.015393783664545024,0.08234382918151997,0.08931499360718327,3.240283616166419,58.67940679690581,576,,0.0,1.0,0.0
50000,small_drift,gate,0.012625483072154942,0.0796434989147465,0.09305696101728629,3.335480793516698,73.00698589631291,576,1.104363938996746,0.75,0.25,0.0
50001,small_drift,evolution,-0.05962716113680319,-0.049187579019113345,0.06011628750907328,2.4584899340790587,28.388350131434343,576,,1.0,0.0,0.0
50001,small_drift,random,-0.043591463060366764,-0.03238637048220697,0.06137797870563529,2.4102046772506034,30.681127511574623,576,,0.0,0.0,1.0
50001,small_drift,hybrid,-0.036850268880597,-0.036808192585588345,0.060399958420919136,2.3633976361858076,26.935247738940678,576,,0.0,1.0,0.0
50001,small_drift,gate,-0.04330665567722134,-0.03339724465857022,0.058970701915506886,2.356493032929108,29.55401713846447,576,0.9284100129137305,1.0,0.0,0.0
50002,small_drift,evolution,0.044537574544666614,0.022296360411483158,0.062046379861164375,1.969243361023662,4.483058992726473,576,,1.0,0.0,0.0
50002,small_drift,random,-0.0009926600985675285,-0.004389151631895384,0.06852283383835833,2.3416596254076567,12.175765470177593,576,,0.0,0.0,1.0
50002,small_drift,hybrid,0.03927671188646845,0.014721191222034245,0.05587500762119583,1.7806744592375634,6.045349413834884,576,,0.0,1.0,0.0
50002,small_drift,gate,0.053398730581195264,0.026308365750685066,0.055915420371622934,1.7258306600232005,4.1241768450429985,576,0.8620800158008691,1.0,0.0,0.0
50003,small_drift,evolution,-0.06297935014156676,-0.0666745007345668,0.05262686731561794,1.9349131009381997,23.215599424969692,576,,1.0,0.0,0.0
50003,small_drift,random,-0.030075130346117245,-0.06833914644442948,0.0681956356819774,2.5546963058549643,25.735313231029828,576,,0.0,0.0,1.0
50003,small_drift,hybrid,-0.04409242648313428,-0.06462561918672971,0.06874267057927926,2.5869416657945927,32.70681323216229,576,,0.0,1.0,0.0
50003,small_drift,gate,-0.03375057761272826,-0.05928638920379902,0.07121070722442939,2.663286679638771,29.368175012032886,576,1.170382486688007,0.6666666666666666,0.3333333333333333,0.0
50004,small_drift,evolution,-0.08154231063409384,-0.03577130360942906,0.0492157877482435,1.8623058779309636,26.556122312576914,576,,1.0,0.0,0.0
50004,small_drift,random,-0.0721307938251667,-0.036598491181898896,0.06299793918306085,2.3157634791791466,26.552106720143918,576,,0.0,0.0,1.0
50004,small_drift,hybrid,-0.06998465820418451,-0.036743414010620035,0.06310998988132809,2.1876711023721445,30.310326774401403,576,,0.0,1.0,0.0
50004,small_drift,gate,-0.04438972189320305,-0.04241448067600821,0.0734463280732924,2.4314518064360464,54.89425143427572,576,1.0266587163002303,0.9166666666666666,0.08333333333333333,0.0
50005,small_drift,evolution,0.0838164730765367,0.04279800023411637,0.10377142085835246,3.2916185097582815,19.601575814806502,576,,1.0,0.0,0.0
50005,small_drift,random,0.0580894192974743,0.008516347387213437,0.07385709138292386,2.225424152623172,25.6095347835329,576,,0.0,0.0,1.0
50005,small_drift,hybrid,0.07945018987047621,0.002010746257800525,0.08542998057114128,2.617799777075213,29.003487816663082,576,,0.0,1.0,0.0
50005,small_drift,gate,0.1142679955080024,-0.0054897240322951645,0.08929368739507097,2.8466450779321533,30.796480186318593,576,0.9835911897507618,0.8333333333333334,0.16666666666666666,0.0
60000,moderate_rotation,evolution,-0.01579206114986367,0.019914724148907017,0.05533286128486311,2.031730450236288,14.861917798914604,576,,1.0,0.0,0.0
60000,moderate_rotation,random,-0.04188939441171369,0.0037018787678937157,0.04973450897852304,1.7413724077852288,14.34890964022458,576,,0.0,0.0,1.0
60000,moderate_rotation,hybrid,-0.028121435608067357,0.011102165431038383,0.07034116816447734,2.595803325249345,18.696452264522154,576,,0.0,1.0,0.0
60000,moderate_rotation,gate,-0.04587302996607362,0.011649731549705184,0.05217973300992551,1.9010464553047617,15.076987390670867,576,1.280260953688363,0.3333333333333333,0.6666666666666666,0.0
