family,policy,seed,violation_area,breach_days,recovery_days,total_reduction,healthy_reduction,terminal_equity,maximum_drawdown,false_action_days
benign_volatility,immune,30049.5,0.03432295550460744,0.36,0.37,19.53055028157712,19.53055028157712,99.25099098405578,-0.2528580555726963,1.0
benign_volatility,liquidate,30049.5,0.027261134271756863,0.38,0.38,82.08,82.08,98.01557033352545,-0.22336509411446037,0.0
benign_volatility,none,30049.5,8.222970028710513,16.28,10.39,0.0,0.0,99.45609499133187,-0.2605402211847456,0.0
benign_volatility,proportional,30049.5,0.08404529897977112,1.08,1.04,17.898337135415158,17.898337135415158,98.97328518939696,-0.2547232583258815,0.0
benign_volatility,vol_target,30049.5,0.013244416922093959,0.08,0.08,233.4569602157378,233.4569602157378,98.22233433357023,-0.09089287649855532,12.38
combined,immune,30049.5,0.09289753917997194,1.17,0.99,50.72754372560266,32.565036550602656,91.31230125289977,-0.29097127808836887,2.51
combined,liquidate,30049.5,0.06606732530517032,1.0,1.0,216.0,181.8,97.36761892822669,-0.13235936463183673,0.0
combined,none,30049.5,22.706233462543945,72.22,70.72,0.0,0.0,90.55285335280465,-0.325466103221797,0.0
combined,proportional,30049.5,0.12768077264741917,3.31,1.11,50.28344829562922,42.55839084422305,91.15634550290419,-0.2916446504052127,0.0
combined,vol_target,30049.5,0.0,0.0,0.0,233.64180297665206,232.94375319591762,99.64993711126994,-0.07816687591864598,12.09
leverage_cancer,immune,30049.5,0.006575502745122841,0.17,0.16,29.92524809430269,19.24645428299057,101.2750255065992,-0.20053449272799284,2.13
leverage_cancer,liquidate,30049.5,0.025470595276075793,0.52,0.58,122.31764427147036,104.41798726431341,99.66139897979279,-0.175021141020438,0.0
leverage_cancer,none,30049.5,8.745816146275828,18.37,13.9,0.0,0.0,101.67656822750907,-0.2101303582968324,0.0
leverage_cancer,proportional,30049.5,0.06219640025209104,1.37,1.08,21.58330967584636,18.683093414118126,101.36332445011178,-0.20375039177236917,0.0
leverage_cancer,vol_target,30049.5,0.000152680611531677,0.01,0.01,229.07673520680123,207.73317799660398,98.51332137542444,-0.09017740932738953,11.56
liquidity_drain,immune,30049.5,0.14200060731417413,1.0,1.0,55.73400738749999,36.3183617125,98.47030918198989,-0.18300247074314552,2.43
liquidity_drain,liquidate,30049.5,0.14349768255463075,1.0,1.0,216.0,180.36,100.26308206164848,-0.0956672702097734,0.0
liquidity_drain,none,30049.5,16.808220539856425,90.04,90.05,0.0,0.0,97.87777307499366,-0.209922309678809,0.0
liquidity_drain,proportional,30049.5,0.15659017647184467,4.02,1.03,63.57794625000001,53.020621875,98.57503104984762,-0.17404684426434247,0.0
liquidity_drain,vol_target,30049.5,0.004621621621621624,0.03,0.03,230.9826381712874,230.46438060571435,99.43417289277451,-0.08045253422152157,11.3
systemic_correlation,immune,30049.5,0.17835261237929603,1.35,1.4,57.669238505904126,7.911988478926771,83.5105444020228,-0.39703095373213043,2.74
systemic_correlation,liquidate,30049.5,0.10987629914015395,0.92,0.92,198.72,17.28,87.56314452087666,-0.2837948189620517,0.0
systemic_correlation,none,30049.5,96.7328546350492,58.04,49.39,0.0,0.0,81.51212000381187,-0.447060858122844,0.0
systemic_correlation,proportional,30049.5,0.36020143611599303,3.31,2.72,55.60736676514729,7.22106967908849,83.18558301972261,-0.4018817321620134,0.0
systemic_correlation,vol_target,30049.5,0.0016668496642778007,0.03,0.03,235.5062391934742,229.52553019380838,98.503204495191,-0.08931551840216637,12.93
