family,policy,seed,violation_area,breach_days,recovery_days,total_reduction,healthy_reduction,terminal_equity,maximum_drawdown,false_action_days
benign_volatility,breach_proportional,30049.5,0.0657841541333371,0.85,0.75,19.35161108419172,19.35161108419172,98.95078193737741,-0.25412691810427923,0.0
benign_volatility,breach_targeted,30049.5,0.062146852005469204,0.82,0.7,18.875216565535467,18.875216565535467,99.39907433443037,-0.2534847786415704,0.0
benign_volatility,early_proportional,30049.5,0.0330820262131133,0.35,0.31,19.633366060415156,19.633366060415156,99.00465050961638,-0.2535481005533083,1.06
benign_volatility,early_targeted,30049.5,0.03432295550460744,0.36,0.37,19.53055028157712,19.53055028157712,99.25099098405578,-0.2528580555726963,1.0
combined,breach_proportional,30049.5,0.10264693998804894,2.33,1.07,51.45549493586439,43.576971289423454,91.35568191772181,-0.2886388337725212,0.0
combined,breach_targeted,30049.5,0.12059985119655052,2.73,1.07,49.753791484466944,34.19397527196695,91.23176876232777,-0.2936587906820271,0.0
combined,early_proportional,30049.5,0.07624222059270737,1.05,0.99,54.29116240333783,45.93941185064689,91.34088930165969,-0.2871397970490101,2.85
combined,early_targeted,30049.5,0.09289753917997194,1.17,0.99,50.72754372560266,32.565036550602656,91.31230125289977,-0.29097127808836887,2.51
leverage_cancer,breach_proportional,30049.5,0.04529844671979897,0.99,0.79,24.127619056386337,20.921801418345503,101.27160067878648,-0.20314063722158088,0.0
leverage_cancer,breach_targeted,30049.5,0.044747931454862576,0.97,0.8,23.595930576481173,17.339688603092473,101.29403568700945,-0.2034678787313853,0.0
leverage_cancer,early_proportional,30049.5,0.005578009725659912,0.16,0.15,30.603652937067864,25.46789978579609,101.29618892595245,-0.20003828934534174,2.22
leverage_cancer,early_targeted,30049.5,0.006575502745122841,0.17,0.16,29.92524809430269,19.24645428299057,101.2750255065992,-0.20053449272799284,2.13
liquidity_drain,breach_proportional,30049.5,0.15360649295458187,3.0,1.0,72.31083791062501,60.298031592187506,98.66973778224083,-0.16974015787658417,0.0
liquidity_drain,breach_targeted,30049.5,0.14854405638103707,2.54,1.0,57.534327925,41.583577925,98.3813860547497,-0.18397169496183152,0.0
liquidity_drain,early_proportional,30049.5,0.14142070868196896,1.0,1.0,63.57794625000001,53.07867187500001,98.5665280093458,-0.17329081934335455,3.03
liquidity_drain,early_targeted,30049.5,0.14200060731417413,1.0,1.0,55.73400738749999,36.3183617125,98.47030918198989,-0.18300247074314552,2.43
systemic_correlation,breach_proportional,30049.5,0.30048976574781455,2.65,2.28,57.05130485220505,7.135138853565703,83.3054471610272,-0.39993578121970985,0.0
systemic_correlation,breach_targeted,30049.5,0.2926802058074454,2.64,2.15,56.411243016356096,7.179380630449743,83.47769666133777,-0.3987003214010342,0.0
systemic_correlation,early_proportional,30049.5,0.18339795567549202,1.31,1.34,57.998014897852265,7.806470759936092,83.50621714978271,-0.39745418704637614,2.8
systemic_correlation,early_targeted,30049.5,0.17835261237929603,1.35,1.4,57.669238505904126,7.911988478926771,83.5105444020228,-0.39703095373213043,2.74
